id,art100,name,name_ru,before45,after46,winter,spring,summer,autumn,melan,holer,flegm,sang,fresh,sweet,citrus,flower,tree,fruit
1,W001,Armand Basi - In Red,Арма́н Баси́ - Ин Ред, +, +,,, +,, +,, +,, +,, +,, +,
2,W003,Escada - Cherry in The Air,Эска́да - Черри Ин Зе Э́ир, +,,, +,, +,, +,, +,, +,,,, +
3,W004,Versace - Versense,Верса́че - Ве́рсенс, +, +,,, +,, +,,, +, +,, +,, +,
4,W006,Chanel - Chance Eau Fraiche,Шане́ль - Шанс о Фреш,, +,,, +,, +,, +, +, +,, +,, +,
5,W007,Lacoste - Pour Femme white,Лако́ста - Пур Фем вайт, +, +,, +,, +,,, +, +,, +,, +, +,
6,W008,Giorgio Armani - Si,Джо́рджио Арма́ни - Си, +, +, +,,, +,, +,, +,, +,, +, +,
7,W011,Trussardi - Donna,Трусса́рди - До́нна, +, +,, +,, +,, +, +, +,,,, +,,
8,W013,Chloe - Eau de Parfum,Хло́е - О де Парфю́м, +, +, +,,, , +,, +, +,,,, +,,
9,W015,Carolina Herrera - Good Girl,Кароли́на Эре́ра Гуд Гёрл, +,, +,,, +,, +,, +,, +,, +,,
10,W016,Dolce & Gabbana - Light Blue,До́льче Габба́на Лайт Блю, +,,,, +,, +,, +,, +,, +,, +,
11,W017,Lancome - La Vie Est Belle,Ланко́м - Ля Ви Э Бэль,, +, +,,,,, +,, +,, +,,,, +
12,W019,Christian Dior - J’adore,Кристиа́н Дио́р - Жадо́р,, +, +,,, +,, +, +, +,, +,, +,, +
13,W020,Dolce & Gabbana - Anthology L’Imperatrice 3,До́льче Габба́на - Императри́ца, +,,, +,, +, +, +, +, +,,, +, +,, +
14,W021,Moschino - I Love Love,Моски́но - Лав Лав, +,,,, +,, +,, +,, +,, +,,,
15,W022,Giorgio Armani - Acqua di Gioia,Джо́ржио Арма́ни - А́ква Ди́джио, +, +,,, +,, +, +, +, +, +,,, +,,
16,W024,Moschino - Funny,Моски́но - Фа́нни, +,,,, +,, +, +, +, +, +,, +,, +,
17,W029,Gucci - Eau de Parfum II,Гу́ччи - О де парфю́м 2, +,,, +,, +,,, +,, +,,, +,, +
18,W030,Lanvin - Marry Me,Ланви́н - Ме́рри Ми, +, +,, +,, +, +, +, +, +,,,, +,, +
19,W031,Bvlgari - Omnia Crystalline,Бу́лгари - О́мния Кристали́н, +,,,, +,, +,, +, +, +,,, +,,
20,W032,Chanel - Coco Mademoiselle,Шане́ль - Коко́ Мадемуазе́ль,, +, +,,,,, +,,,, +,, +, +,
21,W033,Salvatore Ferragamo - Incanto Shine,Сальвато́р Феррага́мо - Инка́нто Шайн, +,,, +, +, +, +, +, +, +, +, +,,,, +
22,W035,Paco Rabanne - Lady Million,Па́ко Раба́нн - Ле́ди Ми́ллион, , +, +,,,,, +,, +,, +,, +,,
23,W036,Givenchy - Ange ou Demon le Secret,Живанши́ - А́нгел или Де́мон Секре́т, +, +,,, +,, +, +, +, +, +,, +, +,,
24,W037,"Donna Karan New York (DKNY)
 - Be Delicious Green",До́нна Кара́н Нью Йорк- Би Дели́шес Грин, +,,,, +,, +, +, +, +, +,,,,, +
25,W038,Escentric Molecules Molecule 02,Эсце́нтрик Моле́кула- Эсце́нтрик 02, +, +,, +,, +, +, +, +, +, +,,, +, +,
26,W039,Lanvin - Eclat d’Arpege,Ланви́н Экла́т - Дарпэш, +, +,,, +,, +, +, +, +, +,,, +,,
27,W040,Christian Dior - Miss Dior Blooming Bouquet,Кристиа́н Дио́р - Мисс Дио́р Блю́минг Буке́т, +,,, +,, +,, +, +, +,, +,, +,, +
28,W042,Кenzo - L`eau par pour femme,Кензо́ - Лё пар пур Фэм, +, +,,, +,, +, +,, +, +,, +,, +,
29,W043,Montale - Roses Musk,Монта́ль - Ро́зес Маск, +, +, +,,,,, +,, +,, +,, +,,
30,W044,Versace - Bright Crystal,Верса́че - Брайт Кристл, +, +,,, +,, +, +, +, +, +,,, +,,
31,W046,Montale - Crystal Flowers,Монта́ль - Кри́стал Фла́верс, +,, +,,,,, +,,,, +,, +,,
32,W048,Max Mara - Le Parfum,Макс Ма́ра - ля Парфю́м, +,,, +,, +,, +, +, +,, +,, +, +,
33,W049,Versace - Crystal Noir,Верса́че - Кри́стал Нуа́р,, +,, +,, +,, +,,, +, +,, +,,
34,W053,Victoria`s Secret Bombshell,Викто́рия Си́крет - Бомбшел, +,,,, +,, +, +,, +, +, +,,,, +
35,W055,Burberry - Weekend,Ба́рбери - Вике́нд,, +,, +,, +, +, +, +, +,,,, +,,
36,W058,Tiziana Terenzi - Andromeda,Тициа́на Тэрэ́нзи - Андроме́да, +, +, +,,,, +, +, +, +,, +,, +, +, +
37,W062,Paco Rabanne - Olympea,Па́ко Раба́нн - Оли́мпия,, +,,  +,, +,, +,, +,, +,, +,,
38,W065,Chanel N5,Шане́ль №5,, +, +,,,, +, +, +, +,,,, +, +,
39,W066,(YSL) Yves Saint Laurent - Black Opium,Ив Сен Лора́н - Блэк О́пиум, +, +, +,,,,, +, +, +,, +,, +,,
40,W067,Kilian - Good Girl Gone Bad,Ки́лиан - Гуд Гёрл Гон Бэд, +, +, +,,,, +, +, +, +,, +,, +, +,
41,W076,Dsquared - She Wood,Дисква́ред - Ши вуд, +, +,,  +,, +, +,, +, +, +,,,, +,
42,W079,Guerlain - Aqua Allegoria Mandarine Basilic,Герле́н - А́ква Аллего́рия Мандари́н и Базили́к, +, +,,  +,, +, +, +, +, +, +,, +,, +,
43,W081,Montale - Intense Cafe,Монта́ль-Инте́нс кафе́, +, +,   +,,,,, +,,,, +,, +,,
44,W082,Gucci - Bamboo,Гу́ччи - Ба́мбу, +,,, +,, +,, +, +, +, +, +,, +,,
45,W083,Elizabeth Arden - Green Tea,Эли́забет А́рден - Грин Ти, +, +,,, +,, +, +, +, +, +,, +,,,
46,W085,Givenchy - L'Interdit,Живанши́ - Линтерди́т, +,, +,, ,,, +, +, +,, +,, +,, +
47,W086,Tiziana Terenzi - Kirke,Тициа́на Тэрэ́нзи - Ки́рке, +, +, +,,,,, +, +,,, +,, +,, +
48,W087,Franck Boclet - Cocaine,Франк Бо́клет - Кокаи́н,, +, +,,,,, +, +,,, +,, +,, +
49,W090,Byredo - Bal d'Afrique,Байре́до - Бал д'А́фрик (Африканский бал), +, +,, +,, +, +, +, +, +, +,,, +, +,
50,W092,Montale - Chocolate Greedy,Монта́ль - Шо́колад Гри́ди, + ,, +,,,, +, +, +, +,, +,,,,
51,W094,Hermes - Un Jardin Sur le Nil,Херме́с - Ан Жардин Сюр лё Ниль, +, +,,, +,, +, +, +, +, +,, +,, +,
52,W095,Lancome - Climat,Ланко́м - Клима́,, +, +,,,,,, +,,, +,, +,,
53,W096,Lancome - Idole,Ланко́м - Идо́ль, +,, +,,,, +,, +, +,, +,, +,,
54,W099,Gian Marco Venturi - Woman,Жан Ма́рко Венту́ри- Ву́ман, +, +,, +,, +, +, +, +, +, +,, +, +,,
55,W100,Tiziana Terenzi - Cassiopea,Тициа́на Тэрэ́нзи - Кассиопе́я, +, +,,,,,, +, +, +,, +,, +,, +
56,W102,Ex Nihilo - Fleur Narcotique,Экс Нихи́ло - Флёр Нарко́тик, +, +,, +,, +, +, +, +, +, +, +,, +, +,
57,W103,Maison Francis Kurkdjian - Baccarat Rouge 540,Мэ́зон Фра́нсис Кюркджя́н Баккара́ Руж 540, +, +, +,,,, +, +, +, +,, +,,, +,
58,W104,Yves Saint Laurent - Libre,Ив Сен Лора́н -Ли́бре, +, +, +,,,, +, +, +, +,, +,, +, +,
59,W110,Tom Ford - Lost Cherry,Том Форд - Лост Че́рри, +, +, +,,,,, +,, +,, +,,,, +
60,W111,Attar Collection - Musk Kashmir,Атта́р Коле́кшн - Маск Кашми́р, +, +, +,,,, +, +, +, +, +, +,, +, +,
61,W114,Zarkoperfume - PINK MOLéCULE 090.09,За́ркоПарфюм - Пинк молекула 09, +,,, +,, +,, +, +, +,, +,,,, +
62,W120,Lanvin - Modern Princess,Ланви́н - Мо́дерн При́нцесс, +,,, +, +,, +, +,, +,, +, +, +,, +
63,W122,Jimmy Choo - Jimmy Choo Blossom,Джи́мми Чу - Бло́ссом, +,,, +,, +,, +,, +,, +,,,, +
64,W140,Creed-Love in white,Крид- Лав ин вайт, +,,, +,, +, +,,, +, +,, +,, +,
65,W144,Calvin Klein - CK IN2U Her,Кэ́лвин Кляйн- Ин ту ю, +, +,, +,, +, +, +,, +,, +, +, +,, +
66,W145,Nina Ricci - Nina Pop,Ни́на Ри́чи- Ни́на Поп, +,,, +,, +,, +,, +,,,,,,
67,W146,Maison Francis Kurkdjian - Gentle Fluidity Gold,Мэ́зон Фра́нсис Кюркджя́н - Джентл Флюи́дити Голд,, +, +,,,,, +,, +,, +,, +, +,
68,W148,Creed - Aventus for Her,Крид - Аве́нтус Фо Хё, +, +, +,,,, +,,, +, +, +,,, +, +
69,W151,Davidoff - Cool Water woman,Давидо́фф - Кул во́тер, +, +,,,  +,, +, +, +, +, +, +, +,, +,
70,W154,Hugo Boss - The Scent For Her,Ху́го Босс-Сцэнт фо хё, +,,, +,,  +, +, +, +, +, +, +,, +,, +
71,M001,Paco Rabanne - Invictus,Па́ко Раба́нн - Инви́ктус, +, +,, +, +,, +,, +, +, +,, +,,,
72,M003,Bulgari - Aqva Pour Homme,Бу́лгари - А́ква Пур Хом, +,,, +, +,, +,, +, +, +,, +,, +,
73,M004,Remy Latour - Cigar,Реми́ Лату́р - Сига́р,, +, +,,, +,, +, +,,, +,,, +, +
74,M005,Creed - Aventus,Крид - Аве́нтус, +, +, +,,, +,, +, +, +, +, +,,, +, +
75,M006,Kenzo - L’Eau par Kenzo Pour Homme,Кензо́ - Лё Пар Кензо́ Пур Хом, +,,,, +,, +, +, +, +, +,, +,, +,
76,M008,Armand Basi - In Blue,Арма́н Баси́ - Ин Блю, +, +,,, +,, +, +, +, +, +,,,, +,
77,M009,Christian Dior - Sauvage 2015,Кристиа́н Дио́р - Сава́ж, +, +,,, +, +,,, +, +, +, +,,, +,
78,M010,Clinique - Happy For Men,Кли́ник - Хе́ппи Фо Мэн, +,,,, +,, +,, +, +, +,, +,,,
79,M012,Versace - Man Eau Fraiche,Верса́че - Мэн о Фрэш, +,,,, +,, +,, +, +, +,, +,, +,
80,M013,Paco Rabanne - Black XS L’Exces For Him,Па́ко Раба́нн - Блэк Икс С, +, +,, +,, +,, +,, +, +, +,,, +,
81,M014,Paco Rabanne - 1 Million,Па́ко Рабба́н - Ван Ми́льён, +, +, +,,,,, +,, +,, +, +,, +,
82,M015,Givenchy - Pour Homme Blue Label,Живанши́ - Пур Хом Блю Лэйбл, +, +,, +, +,, +, +, +, +, +,, +,, +,
83,M017,Giorgio Armani - Acqua di Gio,Джо́рджио Арма́ни - А́ква Ди́джио, +, +,,, +,, +, +, +, +, +,, +,, +,
84,M019,Giorgio Armani Code Ice,Джо́рджио Арма́ни - Код Айс, +,,, +,, +, +,, +, +, +,, +,, +,
85,M020,Chanel - Egoiste Platinum,Шанэ́ль - Эгои́ст Пла́тинум,, +,, +,, +,, +, +, +,,,,, +,
86,M021,Chanel - Allure Homme Sport,Шанэ́ль - Аллю́р Хом Спорт, +, +,, +, +, +,, +, +, +, +, +, +,, +,
87,M024,Lacoste - L.12.12 White,Лако́ста - 12.12 Вайт, +,,, +, +, +, +, +, +, +, +,, +,, +,
88,M029,Dolce Gabbana - The One for Men,До́льче Габа́нна - Зэ Ван Мэн,, +,, +,, +, +, +,,,,,,, +,
89,M033,Christian Dior - Fahrenheit,Кристиа́н Дио́р - фаренгейт,, +,, +,, +,, +, +,, +,,,, +,
90,M037,Azzaro - Chrome Azzaro,Азза́ро - Хром Азза́ро, +, +,,, +,, +,, +, +, +,, +,,,
91,M038,Antonio Banderas - Blue Seduction for Men,Анто́нио Банде́рас - Блю Седа́кшн, +, +,, +,, +, +,, +, +, +,, +,,, +
92,M039,Carolina Herrera - 212 Men,Кароли́на Эре́рра - 212 Мэн, +,,, +,, +, +, +, +, +, +, +,, +,,
93,M040,Yves Saint Laurent - Y Men,Ив Сен Лора́н - И́грик Мэн, +, +,,, +, +, +, +, +, +,,, +,, +,
94,M043,Tom Ford Tobacco - Vanille,Том Форд - Тоба́кко Вани́ль, +, +, +,,,,, +,,,, +,,, +,
95,M044,Nasomatto - Black Afgano,Насома́тто - Блэк Афга́но,, +, +,,,,, +,,,, +,,, +,
96,M045,Carolina Herrera - Bad Boy,Кароли́на Эре́рра - Бэд Бой, +,, +,,, +, +, +, +, +,, +,,, +,
97,M046,Kilian - Vodka on the Rocks,Ки́лиан - Во́дка он зе Рокс, +, +, +,,,, +, +, +, +, +,,,, +,
98,M057,Carolina Herrera- CH Men,Кароли́на Эре́рра - Си Эйч Мэн, +,,,,, +, +, +, +, +, +, +,, +, +,
99,M060,Dolce&Gabbana- Light Blue pour Homme,До́льче Габба́на- Лайт Блю Пур Хомм, +, +,,, +, +, +, +, +, +, +,, +, +, +,
100,M061,Trussardi- Uomo,Труса́рди- Уо́мо,, +, +,,, +,, +,,, +,,,, +,
